"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"872005483","2025-02-25 00:25:40","Spot","Transaction Spend","BRL","-448.84812200",""
"872005483","2025-02-25 00:25:54","Spot","Transaction Fee","BNB","-0.00009349",""
"872005483","2025-02-25 00:25:54","Spot","Transaction Spend","BRL","-448.71792000",""
"872005483","2025-02-25 00:25:54","Spot","Transaction Buy","BTC","0.00084000",""
"872005483","2025-03-14 15:56:22","Spot","Buy Crypto With Fiat","BTC","0.00090978","Ref"
"872005483","2025-03-14 16:00:04","Spot","Deposit","BRL","2000.00000000",""
"872005483","2025-03-14 16:00:56","Spot","Transaction Spend","BRL","-498.99150000",""
"872005483","2025-03-14 16:00:56","Spot","Transaction Buy","SOL","0.65700000",""
"872005483","2025-03-14 16:00:56","Spot","Transaction Fee","BNB","-0.00011155",""
"872005483","2025-03-14 16:02:56","Spot","Transaction Fee","BNB","-0.00005574",""
"872005483","2025-03-14 16:02:56","Spot","Transaction Spend","BRL","-249.40000000",""
"872005483","2025-03-14 16:02:56","Spot","Transaction Buy","DOGE","250.00000000",""
"872005483","2025-03-14 16:02:57","Spot","Transaction Spend","BRL","-298.23200000",""
"872005483","2025-03-14 16:02:57","Spot","Transaction Fee","BNB","-0.00006663",""
"872005483","2025-03-14 16:02:57","Spot","Transaction Buy","XRP","22.00000000",""
"872005483","2025-03-14 16:02:57","Spot","Transaction Spend","BRL","-500.20214700",""
"872005483","2025-03-14 16:02:57","Spot","Transaction Buy","ETH","0.04530000",""
"872005483","2025-03-14 16:03:36","Spot","Transaction Buy","BTC","0.00093000",""
"872005483","2025-03-14 16:03:36","Spot","Transaction Spend","BRL","-452.78910000",""
"872005483","2025-03-14 16:03:36","Spot","Transaction Fee","BNB","-0.00010111",""
"872005483","2025-07-11 20:07:28","Spot","Deposit","BRL","2500.00000000",""
"872005483","2025-07-11 20:09:02","Spot","Transaction Spend","BRL","-748.53184000",""
"872005483","2025-07-11 20:09:02","Spot","Transaction Buy","ETH","0.04480000",""
"872005483","2025-07-11 20:09:02","Spot","Transaction Fee","BNB","-0.00014557",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Fee","BNB","-0.00007842",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Spend","BRL","-124.14080000",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Buy","SOL","0.13600000",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Fee","BNB","-0.00002412",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Fee","BNB","-0.00004311",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Buy","SOL","0.44200000",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Buy","SOL","0.24300000",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Spend","BRL","-221.78610000",""
"872005483","2025-07-11 20:09:27","Spot","Transaction Spend","BRL","-403.45760000",""
"872005483","2025-07-11 20:11:33","Spot","Transaction Fee","BNB","-0.00004864",""
"872005483","2025-07-11 20:11:33","Spot","Transaction Spend","BRL","-249.19760000",""
"872005483","2025-07-11 20:11:33","Spot","Transaction Buy","XRP","15.80000000",""
"872005483","2025-07-11 20:12:45","Spot","Binance Convert","USDT","1.14546455",""
"872005483","2025-07-11 20:12:46","Spot","Binance Convert","BRL","-6.42103100",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Buy","BTC","0.00085000",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Buy","BTC","0.00028000",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Spend","BRL","-557.42150000",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Fee","BNB","-0.00010845",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Spend","BRL","-183.62120000",""
"872005483","2025-07-11 20:14:02","Spot","Transaction Fee","BNB","-0.00003572",""
"872005483","2025-07-11 20:14:22","Spot","Binance Convert","BRL","-6.07454000",""
"872005483","2025-07-11 20:14:22","Spot","Binance Convert","USDT","1.08252379",""
"872005483","2025-07-11 20:14:50","Spot","Transaction Fee","BNB","-0.00000843",""
"872005483","2025-07-11 20:14:50","Spot","Transaction Spend","USDT","-7.79294000",""
"872005483","2025-07-11 20:14:50","Spot","Transaction Buy","DOGE","37.00000000",""
"872005483","2025-07-12 11:44:36","Spot","Small Assets Exchange BNB","USDT","-0.01354013","USDT to BNB"
"872005483","2025-07-12 11:44:36","Spot","Small Assets Exchange BNB","BNB","0.00001918","USDT to BNB"
"872005483","2025-07-22 09:54:37","Spot","Deposit","BRL","1100.00000000",""
"872005483","2025-07-22 09:55:16","Spot","Transaction Fee","BNB","-0.00005253",""
"872005483","2025-07-22 09:55:16","Spot","Transaction Spend","BRL","-296.70930000",""
"872005483","2025-07-22 09:55:16","Spot","Transaction Buy","BTC","0.00045000",""
"872005483","2025-07-22 09:56:00","Spot","Transaction Spend","BRL","-199.29910000",""
"872005483","2025-07-22 09:56:00","Spot","Transaction Fee","BNB","-0.00003526",""
"872005483","2025-07-22 09:56:00","Spot","Transaction Buy","SOL","0.18100000",""
"872005483","2025-07-22 09:56:34","Spot","Transaction Spend","BRL","-199.24320000",""
"872005483","2025-07-22 09:56:34","Spot","Transaction Fee","BNB","-0.00003525",""
"872005483","2025-07-22 09:56:34","Spot","Transaction Buy","XRP","10.30000000",""
"872005483","2025-07-22 09:57:27","Spot","Transaction Buy","XRP","2.50000000",""
"872005483","2025-07-22 09:57:27","Spot","Transaction Spend","BRL","-48.40500000",""
"872005483","2025-07-22 09:57:27","Spot","Transaction Fee","BNB","-0.00000855",""
"872005483","2025-07-22 09:57:45","Spot","Transaction Fee","BNB","-0.00000997",""
"872005483","2025-07-22 09:57:45","Spot","Transaction Spend","BRL","-56.43760000",""
"872005483","2025-07-22 09:57:45","Spot","Transaction Buy","DOGE","38.00000000",""
"872005483","2025-07-22 09:58:32","Spot","Transaction Buy","ETH","0.01470000",""
"872005483","2025-07-22 09:58:32","Spot","Transaction Fee","BNB","-0.00005300",""
"872005483","2025-07-22 09:58:32","Spot","Transaction Spend","BRL","-299.57188800",""
"872005483","2025-07-23 10:01:16","Spot","Small Assets Exchange BNB","BNB","0.00007431","BRL to BNB"
"872005483","2025-07-23 10:01:16","Spot","Small Assets Exchange BNB","BRL","-0.33391200","BRL to BNB"
"872005483","2025-07-31 11:14:28","Spot","Deposit","BRL","1200.00000000",""
"872005483","2025-07-31 11:16:11","Spot","Transaction Fee","BNB","-0.00004987",""
"872005483","2025-07-31 11:16:11","Spot","Transaction Buy","ETH","0.01390000",""
"872005483","2025-07-31 11:16:11","Spot","Transaction Spend","BRL","-298.47414400",""
"872005483","2025-07-31 11:16:25","Spot","Transaction Spend","BRL","-299.49280000",""
"872005483","2025-07-31 11:16:25","Spot","Transaction Fee","BNB","-0.00005003",""
"872005483","2025-07-31 11:16:25","Spot","Transaction Buy","SOL","0.29600000",""
"872005483","2025-07-31 11:16:55","Spot","Transaction Buy","DOGE","40.00000000",""
"872005483","2025-07-31 11:16:55","Spot","Transaction Fee","BNB","-0.00000831",""
"872005483","2025-07-31 11:16:55","Spot","Transaction Spend","BRL","-49.80800000",""
"872005483","2025-07-31 11:18:26","Spot","Transaction Spend","BRL","-297.87750000",""
"872005483","2025-07-31 11:18:26","Spot","Transaction Fee","BNB","-0.00004980",""
"872005483","2025-07-31 11:18:26","Spot","Transaction Buy","BTC","0.00045000",""
"872005483","2025-07-31 11:18:27","Spot","Transaction Fee","BNB","-0.00004167",""
"872005483","2025-07-31 11:18:27","Spot","Transaction Spend","BRL","-249.37260000",""
"872005483","2025-07-31 11:18:27","Spot","Transaction Buy","XRP","14.10000000",""
"872005483","2025-08-01 13:22:32","Spot","Deposit","BRL","1100.00000000",""
"872005483","2025-08-01 13:23:16","Spot","Binance Convert","BTC","0.00046613",""
"872005483","2025-08-01 13:23:17","Spot","Binance Convert","BRL","-300.00000000",""
"872005483","2025-08-01 13:25:06","Spot","Transaction Fee","BNB","-0.00005227",""
"872005483","2025-08-01 13:25:06","Spot","Transaction Spend","BRL","-298.30504200",""
"872005483","2025-08-01 13:25:06","Spot","Transaction Buy","ETH","0.01470000",""
"872005483","2025-08-01 13:25:48","Spot","Transaction Spend","BRL","-299.29600000",""
"872005483","2025-08-01 13:25:48","Spot","Transaction Buy","SOL","0.32000000",""
"872005483","2025-08-01 13:25:48","Spot","Transaction Fee","BNB","-0.00005244",""
"872005483","2025-08-01 13:26:03","Spot","Transaction Fee","BNB","-0.00002627",""
"872005483","2025-08-01 13:26:03","Spot","Transaction Spend","BRL","-149.94900000",""
"872005483","2025-08-01 13:26:03","Spot","Transaction Buy","XRP","9.00000000",""
"872005483","2025-08-01 13:26:15","Spot","Transaction Spend","BRL","-56.37940000",""
"872005483","2025-08-01 13:26:15","Spot","Transaction Buy","DOGE","49.00000000",""
"872005483","2025-08-01 13:26:15","Spot","Transaction Fee","BNB","-0.00000988",""
"872005483","2025-08-03 02:55:23","Spot","Earn - Airdrop Distribution","SOL","0.00037381",""
"872005483","2025-08-04 02:55:26","Spot","Earn - Airdrop Distribution","SOL","0.00037382",""
"872005483","2025-08-05 03:35:15","Spot","Earn - Airdrop Distribution","SOL","0.00037383",""
"872005483","2025-08-06 03:15:20","Spot","Earn - Airdrop Distribution","SOL","0.00037384",""
"872005483","2025-08-07 02:55:18","Spot","Earn - Airdrop Distribution","SOL","0.00037385",""
"872005483","2025-08-08 01:10:23","Spot","Binance Convert","BNB","0.00024240",""
"872005483","2025-08-08 01:10:23","Spot","Binance Convert","BRL","-1.04551400",""
"872005483","2025-08-08 03:15:17","Spot","Earn - Airdrop Distribution","SOL","0.00037386",""
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","XRP","-208.70000000","Binance Earn"
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","BNB","-0.09877942","Binance Earn"
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","ETH","-0.95948335","Binance Earn"
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","BTC","-0.04729137","Binance Earn"
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","SOL","-13.64640001","Binance Earn"
"872005483","2025-08-08 17:23:46","Spot","Simple Earn Flexible Subscription","DOGE","-1800.86907242","Binance Earn"
"872005483","2025-08-09 03:15:18","Spot","Earn - Airdrop Distribution","SOL","0.00027001",""
"872005483","2025-08-09 04:31:14","Spot","Simple Earn Flexible Subscription","SOL","-0.00027001","Binance Earn"
"872005483","2025-08-10 03:37:22","Spot","Simple Earn Flexible Interest","BTC","6E-8","Binance Earn"
"872005483","2025-08-10 03:47:30","Spot","Simple Earn Flexible Interest","BNB","3.2E-7","Binance Earn"
"872005483","2025-08-10 03:53:48","Spot","Simple Earn Flexible Interest","ETH","5.4E-7","Binance Earn"
"872005483","2025-08-10 04:27:50","Spot","Simple Earn Flexible Subscription","ETH","-5.4E-7","Binance Earn"
"872005483","2025-08-10 04:27:51","Spot","Simple Earn Flexible Subscription","BNB","-3.2E-7","Binance Earn"
"872005483","2025-08-10 04:27:51","Spot","Simple Earn Flexible Subscription","BTC","-6E-8","Binance Earn"
"872005483","2025-08-11 03:43:23","Spot","Simple Earn Flexible Interest","ETH","5.4E-7","Binance Earn"
